  Epoch    Dlat    DLon    DHoriz  Dheight 
  496051  -0.151  -0.305   0.340   0.094  
  496052  -0.149  -0.315   0.349   0.087  
  496053  -0.146  -0.319   0.351   0.077  
  496054  -0.145  -0.318   0.349   0.083  
  496055  -0.140  -0.312   0.342   0.088  
  496056  -0.138  -0.312   0.341   0.083  
  496057  -0.134  -0.317   0.344   0.074  
  496058  -0.141  -0.311   0.342   0.088  
  496059  -0.141  -0.316   0.346   0.080  
  496060  -0.139  -0.317   0.347   0.077  
  496061  -0.136  -0.318   0.346   0.073  
  496062  -0.136  -0.320   0.348   0.071  
  496063  -0.134  -0.318   0.345   0.070  
  496064  -0.137  -0.315   0.343   0.069  
  496065  -0.139  -0.317   0.346   0.069  
  496066  -0.137  -0.320   0.348   0.061  
  496067  -0.137  -0.321   0.349   0.059  
  496068  -0.134  -0.319   0.346   0.065  
  496069  -0.130  -0.319   0.345   0.067  
  496070  -0.129  -0.317   0.342   0.069  
  496071  -0.125  -0.313   0.337   0.066  
  496072  -0.122  -0.313   0.336   0.062  
  496073  -0.121  -0.314   0.337   0.063  
  496074  -0.123  -0.312   0.335   0.061  
  496075  -0.123  -0.314   0.338   0.056  
  496076  -0.122  -0.318   0.340   0.048  
  496077  -0.119  -0.316   0.337   0.056  
  496078  -0.120  -0.309   0.332   0.068  
  496079  -0.118  -0.308   0.330   0.078  
  496080  -0.115  -0.311   0.332   0.072  
  496081  -0.117  -0.306   0.327   0.087  
  496082  -0.114  -0.305   0.326   0.101  
  496083  -0.108  -0.300   0.319   0.126  
  496084  -0.106  -0.297   0.316   0.121  
  496085  -0.107  -0.298   0.317   0.123  
  496086  -0.107  -0.295   0.314   0.124  
  496087  -0.103  -0.292   0.309   0.120  
  496088  -0.098  -0.294   0.310   0.122  
  496089  -0.099  -0.295   0.311   0.112  
  496090  -0.099  -0.298   0.314   0.104  
  496091  -0.108  -0.292   0.312   0.114  
  496092  -0.105  -0.290   0.308   0.114  
  496093  -0.107  -0.292   0.311   0.116  
  496094  -0.115  -0.290   0.312   0.116  
  496095  -0.114  -0.291   0.313   0.115  
  496096  -0.115  -0.293   0.315   0.096  
  496097  -0.117  -0.283   0.307   0.114  
  496098  -0.119  -0.284   0.308   0.124  
  496099  -0.112  -0.286   0.307   0.133  
  496100  -0.110  -0.287   0.307   0.143  
  496101  -0.106  -0.282   0.302   0.144  
  496102  -0.113  -0.279   0.301   0.148  
  496103  -0.113  -0.279   0.301   0.142  
  496104  -0.119  -0.283   0.307   0.130  
  496105  -0.123  -0.284   0.310   0.135  
  496106  -0.120  -0.288   0.312   0.127  
  496107  -0.117  -0.296   0.318   0.118  
  496108  -0.118  -0.296   0.319   0.117  
  496109  -0.121  -0.296   0.319   0.124  
  496110  -0.124  -0.294   0.319   0.133  
  496111  -0.117  -0.292   0.314   0.138  
  496112  -0.114  -0.291   0.312   0.137  
  496113  -0.122  -0.284   0.309   0.147  
  496114  -0.123  -0.288   0.313   0.139  
  496115  -0.126  -0.288   0.314   0.118  
  496116  -0.133  -0.291   0.320   0.108  
  496117  -0.134  -0.295   0.324   0.091  
  496118  -0.139  -0.297   0.328   0.084  
  496119  -0.139  -0.296   0.327   0.089  
  496120  -0.139  -0.297   0.328   0.092  
  496121  -0.136  -0.296   0.326   0.091  
  496122  -0.140  -0.294   0.325   0.100  
  496123  -0.136  -0.295   0.325   0.094  
  496124  -0.133  -0.298   0.326   0.086  
  496125  -0.135  -0.293   0.323   0.091  
  496126  -0.128  -0.291   0.318   0.082  
  496127  -0.128  -0.298   0.324   0.070  
  496128  -0.127  -0.300   0.325   0.065  
  496129  -0.132  -0.295   0.323   0.064  
  496130  -0.139  -0.298   0.329   0.071  
  496131  -0.140  -0.295   0.327   0.075  
  496132  -0.134  -0.301   0.330   0.061  
  496133  -0.126  -0.303   0.328   0.064  
  496134  -0.123  -0.301   0.325   0.081  
  496135  -0.124  -0.296   0.321   0.092  
  496136  -0.124  -0.296   0.321   0.094  
  496137  -0.118  -0.290   0.313   0.101  
  496138  -0.112  -0.292   0.313   0.103  
  496139  -0.110  -0.294   0.314   0.104  
  496140  -0.112  -0.303   0.323   0.093  
  496141  -0.115  -0.312   0.333   0.074  
  496142  -0.122  -0.304   0.328   0.080  
  496143  -0.128  -0.298   0.324   0.084  
  496144  -0.131  -0.292   0.320   0.081  
  496145  -0.132  -0.290   0.318   0.077  
  496146  -0.130  -0.288   0.316   0.082  
  496147  -0.128  -0.289   0.316   0.069  
  496148  -0.123  -0.286   0.312   0.057  
  496149  -0.121  -0.286   0.310   0.066  
  496150  -0.121  -0.285   0.309   0.064  
  496151  -0.117  -0.285   0.308   0.079  
  496152  -0.120  -0.289   0.313   0.069  
  496153  -0.112  -0.291   0.312   0.071  
  496154  -0.110  -0.292   0.312   0.091  
  496155  -0.111  -0.296   0.316   0.084  
  496156  -0.109  -0.298   0.317   0.084  
  496157  -0.108  -0.298   0.317   0.093  
  496158  -0.106  -0.296   0.315   0.096  
  496159  -0.101  -0.296   0.313   0.096  
  496160  -0.107  -0.293   0.312   0.080  
  496161  -0.103  -0.291   0.309   0.079  
  496162  -0.102  -0.285   0.303   0.076  
  496163  -0.096  -0.294   0.310   0.075  
  496164  -0.089  -0.294   0.307   0.083  
  496165  -0.091  -0.286   0.300   0.105  
  496166  -0.093  -0.290   0.305   0.114  
  496167  -0.091  -0.292   0.306   0.117  
  496168  -0.093  -0.288   0.303   0.104  
  496169  -0.092  -0.289   0.303   0.099  
  496170  -0.092  -0.295   0.309   0.084  
  496171  -0.090  -0.297   0.310   0.088  
  496172  -0.093  -0.287   0.302   0.106  
  496173  -0.084  -0.291   0.303   0.096  
  496174  -0.089  -0.290   0.304   0.101  
  496175  -0.091  -0.294   0.308   0.082  
  496176  -0.084  -0.298   0.310   0.082  
  496177  -0.089  -0.301   0.314   0.078  
  496178  -0.092  -0.303   0.317   0.070  
  496179  -0.089  -0.303   0.316   0.071  
  496180  -0.092  -0.296   0.310   0.075  
  496181  -0.092  -0.293   0.308   0.082  
  496182  -0.085  -0.296   0.308   0.088  
  496183  -0.084  -0.304   0.316   0.083  
  496184  -0.077  -0.301   0.310   0.093  
  496185  -0.067  -0.302   0.309   0.111  
  496186  -0.057  -0.307   0.312   0.114  
  496187  -0.050  -0.304   0.308   0.127  
  496188  -0.043  -0.303   0.306   0.131  
  496189  -0.051  -0.304   0.308   0.140  
  496190  -0.051  -0.300   0.304   0.137  
  496191  -0.049  -0.298   0.302   0.139  
  496192  -0.055  -0.301   0.306   0.118  
  496193  -0.059  -0.312   0.318   0.101  
  496194  -0.056  -0.310   0.315   0.103  
  496195  -0.054  -0.303   0.308   0.105  
  496196  -0.051  -0.304   0.309   0.110  
  496197  -0.048  -0.309   0.313   0.120  
  496198  -0.046  -0.310   0.314   0.118  
  496199  -0.051  -0.319   0.323   0.106  
  496200  -0.061  -0.320   0.325   0.095  
  496201  -0.054  -0.314   0.318   0.092  
  496202  -0.059  -0.315   0.320   0.071  
  496203  -0.054  -0.321   0.325   0.065  
  496204  -0.053  -0.332   0.337   0.068  
  496205  -0.053  -0.330   0.334   0.063  
  496206  -0.062  -0.330   0.336   0.061  
  496207  -0.055  -0.327   0.332   0.070  
  496208  -0.067  -0.331   0.337   0.064  
  496209  -0.071  -0.327   0.335   0.060  
  496210  -0.074  -0.323   0.331   0.061  
  496211  -0.081  -0.314   0.325   0.065  
  496212  -0.081  -0.309   0.320   0.069  
  496213  -0.075  -0.305   0.314   0.062  
  496214  -0.083  -0.304   0.315   0.038  
  496215  -0.083  -0.301   0.312   0.021  
  496216  -0.079  -0.306   0.316   0.018  
  496217  -0.077  -0.311   0.320   0.016  
  496218  -0.082  -0.317   0.328   0.005  
  496219  -0.085  -0.321   0.332   0.004  
  496220  -0.085  -0.326   0.337   0.003  
  496221  -0.082  -0.326   0.336   0.003  
  496222  -0.087  -0.330   0.341  -0.017  
  496223  -0.083  -0.328   0.338   0.003  
  496224  -0.087  -0.319   0.331   0.005  
  496225  -0.080  -0.315   0.325   0.033  
  496226  -0.079  -0.317   0.327   0.031  
  496227  -0.081  -0.314   0.324   0.033  
  496228  -0.076  -0.305   0.314   0.043  
  496229  -0.082  -0.310   0.321   0.017  
  496230  -0.087  -0.313   0.325  -0.001  
  496231  -0.087  -0.315   0.327  -0.015  
  496232  -0.090  -0.312   0.325  -0.013  
  496233  -0.091  -0.314   0.327  -0.031  
  496234  -0.097  -0.311   0.326  -0.047  
  496235  -0.098  -0.304   0.319  -0.042  
  496236  -0.095  -0.308   0.322  -0.043  
  496237  -0.084  -0.306   0.317  -0.023  
  496238  -0.070  -0.296   0.304  -0.009  
  496239  -0.047  -0.289   0.293   0.021  
  496240  -0.037  -0.281   0.283   0.045  
  496241  -0.035  -0.270   0.273   0.055  
  496242  -0.030  -0.269   0.270   0.066  
  496243  -0.038  -0.273   0.276   0.057  
  496244  -0.051  -0.278   0.282   0.040  
  496245  -0.049  -0.284   0.288   0.045  
  496246  -0.053  -0.283   0.288   0.041  
  496247  -0.049  -0.276   0.281   0.028  
  496248  -0.055  -0.271   0.277   0.024  
  496249  -0.053  -0.266   0.272   0.052  
  496250  -0.057  -0.267   0.273   0.036  
  496251  -0.051  -0.269   0.274   0.033  
  496252  -0.042  -0.263   0.266   0.016  
  496253  -0.038  -0.261   0.264   0.023  
  496254  -0.032  -0.262   0.264   0.041  
  496255  -0.029  -0.268   0.270   0.042  
  496256  -0.027  -0.270   0.271   0.054  
  496257  -0.041  -0.293   0.296   0.033  
  496258  -0.043  -0.293   0.296   0.035  
  496259  -0.052  -0.286   0.291   0.030  
  496260  -0.049  -0.284   0.289  -0.007  
  496261  -0.055  -0.275   0.280  -0.015  
  496262  -0.069  -0.271   0.279  -0.019  
  496263  -0.068  -0.270   0.278  -0.033  
  496264  -0.066  -0.264   0.272  -0.016  
  496265  -0.071  -0.258   0.267  -0.018  
  496266  -0.073  -0.262   0.272  -0.049  
  496267  -0.077  -0.271   0.282  -0.047  
  496268  -0.069  -0.279   0.288  -0.036  
  496269  -0.076  -0.283   0.293  -0.032  
  496270  -0.079  -0.289   0.299  -0.002  
  496271  -0.060  -0.292   0.298   0.059  
  496272  -0.053  -0.293   0.298   0.049  
  496273  -0.046  -0.297   0.300   0.040  
  496274  -0.040  -0.301   0.303   0.066  
  496275  -0.045  -0.304   0.307   0.050  
  496276  -0.034  -0.306   0.308   0.021  
  496277  -0.014  -0.329   0.329   0.010  
  496278   0.027  -0.374   0.375  -0.064  
  496279   0.010  -0.351   0.351   0.001  
  496280   0.017  -0.358   0.358   0.001  
  496281   0.022  -0.374   0.374  -0.006  
  496282   0.012  -0.387   0.387  -0.024  
  496283   0.008  -0.381   0.381  -0.055  
  496284  -0.002  -0.372   0.372  -0.024  
  496285  -0.012  -0.361   0.361   0.006  
  496286  -0.016  -0.368   0.369   0.026  
  496287  -0.024  -0.358   0.359   0.066  
  496288  -0.031  -0.364   0.365   0.070  
