  Epoch    Dlat    DLon    DHoriz  Dheight 
  496152  -0.372   1.732   1.771  11.637  
  496153  -0.348   1.701   1.737  11.721  
  496154  -0.353   1.698   1.734  11.986  
  496155  -0.832   2.585   2.716  14.004  
  496156  -0.363   1.489   1.533  11.547  
  496157  -0.269   1.451   1.476  11.429  
  496158  -0.193   1.354   1.367  11.008  
  496159  -0.103   1.385   1.389  11.094  
  496160  -0.228   1.462   1.480  10.941  
  496161  -0.216   1.547   1.562  11.009  
  496162  -0.179   1.609   1.619  10.974  
  496163  -0.114   1.472   1.476  10.980  
  496164  -0.039   1.501   1.502  11.021  
  496165  -0.020   1.563   1.563  11.210  
  496166  -0.107   1.594   1.597  11.549  
  496167  -0.166   1.618   1.627  11.736  
  496168  -0.118   1.518   1.522  11.244  
  496169  -0.123   1.645   1.649  11.353  
  496170  -0.324   1.958   1.985  12.146  
  496171  -0.500   2.316   2.369  12.977  
  496172  -0.591   2.465   2.535  13.186  
  496173  -0.559   2.603   2.662  13.495  
  496174  -0.730   2.784   2.878  14.010  
  496175  -0.712   2.579   2.675  13.529  
  496176  -0.671   2.462   2.551  13.414  
  496177  -0.851   2.472   2.614  13.650  
  496178  -1.048   2.799   2.989  14.361  
  496179  -1.051   2.885   3.070  14.672  
  496180  -1.006   2.832   3.006  14.273  
  496181  -0.867   2.636   2.774  13.708  
  496182  -0.686   2.459   2.553  13.353  
  496183  -0.735   2.404   2.514  13.353  
  496184  -0.675   2.588   2.675  13.754  
  496185  -0.602   2.684   2.751  14.220  
  496186  -0.530   2.778   2.828  14.572  
  496187  -0.326   2.658   2.678  14.243  
  496188  -0.229   2.575   2.585  14.019  
  496189  -0.342   2.428   2.452  13.912  
  496190  -0.326   2.294   2.317  13.463  
  496191  -0.373   2.363   2.392  13.721  
  496192  -0.445   2.328   2.370  13.439  
  496193  -0.502   2.131   2.189  13.149  
  496194  -0.307   1.819   1.845  12.476  
  496195  -0.203   1.633   1.646  11.961  
  496196  -0.310   1.843   1.869  12.662  
  496197  -0.328   1.885   1.914  12.934  
  496198  -0.377   2.106   2.140  13.323  
  496199  -0.530   2.201   2.264  13.558  
  496200  -0.656   2.263   2.356  13.599  
  496201  -0.527   2.355   2.413  13.484  
  496202  -0.693   2.651   2.740  13.914  
  496203  -0.815   2.870   2.983  14.573  
  496204  -0.966   3.022   3.173  15.202  
  496205  -0.923   2.922   3.064  14.896  
  496206  -0.805   2.305   2.442  13.660  
  496207  -0.150   1.070   1.080  10.908  
  496208  -0.264   1.002   1.036  10.901  
  496209  -0.381   1.031   1.099  10.919  
  496210  -0.485   1.157   1.255  11.213  
  496211  -0.524   1.228   1.335  11.290  
  496212  -0.568   1.317   1.434  11.464  
  496213  -0.495   1.435   1.518  11.571  
  496214  -0.557   1.484   1.585  11.316  
  496215  -0.492   1.418   1.501  11.008  
  496216  -0.452   1.399   1.470  10.955  
  496217  -0.375   1.343   1.395  10.815  
  496218  -0.367   1.255   1.307  10.625  
  496219  -0.405   1.199   1.266  10.626  
  496220  -0.416   1.144   1.218  10.662  
  496221  -0.316   1.085   1.130  10.494  
  496222  -0.404   1.077   1.151  10.406  
  496223  -0.418   1.152   1.226  10.787  
  496224  -0.529   1.330   1.432  11.173  
  496225  -0.466   1.378   1.455  11.542  
  496226  -0.458   1.373   1.448  11.609  
  496227  -0.489   1.368   1.453  11.532  
  496228  -0.541   1.790   1.870  12.431  
  496229  -0.789   2.102   2.245  13.203  
  496230  -0.927   2.288   2.469  13.576  
  496231  -0.501   1.386   1.473  11.401  
  496232  -0.476   1.311   1.395  11.188  
  496233  -0.440   1.278   1.352  10.987  
  496234  -0.457   1.246   1.328  10.674  
  496235  -0.473   1.305   1.388  10.711  
  496236  -0.425   1.248   1.319  10.715  
  496237  -0.328   1.311   1.351  10.888  
  496238  -0.083   1.423   1.425  10.895  
  496239   0.151   1.549   1.557  11.173  
  496240   0.169   1.752   1.760  11.682  
  496241   0.173   1.844   1.852  11.893  
  496242   0.189   1.879   1.888  12.037  
  496243   0.284   1.414   1.442  11.041  
  496244  -0.125   1.940   1.944  12.339  
