  Epoch    Dlat    DLon    DHoriz  Dheight 
  495962   0.134  -0.506   0.523  -0.306  
  495963   0.139  -0.509   0.528  -0.317  
  495964   0.135  -0.507   0.525  -0.306  
  495965   0.130  -0.506   0.523  -0.301  
  495966   0.133  -0.511   0.528  -0.298  
  495967   0.129  -0.512   0.528  -0.302  
  495968   0.131  -0.510   0.526  -0.302  
  495969   0.133  -0.507   0.524  -0.303  
  495970   0.132  -0.512   0.528  -0.306  
  495971   0.122  -0.496   0.511  -0.270  
  495972   0.122  -0.495   0.510  -0.275  
  495973   0.123  -0.495   0.510  -0.264  
  495974   0.118  -0.498   0.511  -0.270  
  495975   0.121  -0.487   0.502  -0.273  
  495976   0.122  -0.493   0.508  -0.271  
  495977   0.119  -0.498   0.512  -0.260  
  495978   0.118  -0.501   0.515  -0.265  
  495979   0.117  -0.495   0.509  -0.274  
  495980   0.116  -0.494   0.508  -0.269  
  495981   0.118  -0.492   0.506  -0.269  
  495982   0.118  -0.495   0.509  -0.273  
  495983   0.123  -0.495   0.510  -0.279  
  495984   0.123  -0.495   0.511  -0.283  
  495985   0.117  -0.497   0.510  -0.281  
  495986   0.121  -0.498   0.513  -0.282  
  495987   0.121  -0.501   0.515  -0.277  
  495988   0.122  -0.500   0.515  -0.269  
  495989   0.121  -0.495   0.510  -0.275  
  495990   0.121  -0.504   0.518  -0.273  
  495991   0.124  -0.503   0.518  -0.271  
  495992   0.125  -0.504   0.519  -0.273  
  495993   0.119  -0.499   0.513  -0.273  
  495994   0.123  -0.498   0.513  -0.273  
  495995   0.123  -0.495   0.510  -0.273  
  495996   0.121  -0.495   0.510  -0.274  
  495997   0.120  -0.499   0.513  -0.279  
  495998   0.126  -0.494   0.510  -0.282  
  495999   0.126  -0.497   0.513  -0.290  
  496000   0.122  -0.490   0.505  -0.283  
  496001   0.125  -0.489   0.505  -0.282  
  496002   0.133  -0.492   0.510  -0.287  
  496003   0.132  -0.499   0.516  -0.281  
  496004   0.137  -0.499   0.517  -0.277  
  496005   0.138  -0.499   0.518  -0.291  
  496006   0.137  -0.494   0.513  -0.280  
  496007   0.138  -0.496   0.515  -0.287  
  496008   0.140  -0.497   0.517  -0.286  
  496009   0.137  -0.499   0.517  -0.285  
  496010   0.130  -0.505   0.522  -0.281  
  496011   0.130  -0.503   0.520  -0.277  
  496012   0.135  -0.502   0.520  -0.279  
  496013   0.129  -0.507   0.523  -0.280  
  496014   0.128  -0.504   0.520  -0.283  
  496015   0.128  -0.497   0.513  -0.286  
  496016   0.128  -0.498   0.515  -0.289  
  496017   0.131  -0.499   0.516  -0.284  
  496018   0.133  -0.497   0.514  -0.284  
  496019   0.132  -0.500   0.517  -0.276  
  496020   0.132  -0.498   0.515  -0.280  
  496021   0.133  -0.496   0.514  -0.284  
