Epoch   Baseline_Difference(m)   e_(m)
  496672           1.022           0.154
  496673           1.022           0.154
  496674           1.020           0.152
  496675           1.016           0.148
  496676           1.019           0.151
  496677           1.022           0.154
  496678           1.025           0.157
  496679           1.023           0.155
  496680           1.026           0.158
  496681           1.027           0.159
  496682           1.021           0.153
  496683           1.022           0.154
  496684           1.019           0.151
  496685           1.019           0.151
  496686           1.019           0.151
  496687           1.019           0.151
  496688           1.017           0.149
  496689           1.016           0.148
  496690           1.014           0.146
  496691           1.015           0.147
  496692           1.015           0.147
  496693           1.014           0.146
  496694           1.012           0.144
  496695           1.015           0.147
  496696           1.013           0.145
  496697           1.012           0.144
  496698           1.011           0.143
  496699           1.012           0.144
  496700           1.014           0.146
  496701           1.013           0.145
  496702           1.013           0.145
  496703           1.012           0.144
  496704           1.013           0.145
  496705           1.014           0.146
  496706           1.014           0.146
  496707           1.014           0.146
  496708           1.014           0.146
  496709           1.017           0.149
  496710           1.018           0.150
  496711           1.021           0.153
  496712           1.018           0.150
  496713           1.018           0.150
  496714           1.016           0.148
  496715           1.018           0.150
  496716           1.017           0.149
  496717           1.019           0.151
  496718           1.011           0.143
  496719           1.013           0.145
  496720           1.023           0.155
  496721           1.022           0.154
  496722           1.025           0.157
  496723           1.026           0.158
  496724           1.026           0.158
  496725           1.025           0.157
  496726           1.023           0.155
  496727           1.020           0.152
  496728           1.026           0.158
  496729           1.027           0.159
  496730           1.028           0.160
  496731           1.029           0.161
  496732           1.032           0.164
  496733           1.033           0.165
  496734           1.033           0.165
  496735           1.032           0.164
  496736           1.035           0.167
  496737           1.036           0.168
  496738           1.034           0.166
  496739           1.037           0.169
  496740           1.037           0.169
  496741           1.037           0.169
  496742           1.040           0.172
  496743           1.040           0.172
  496744           1.036           0.168
  496745           1.036           0.168
  496746           1.039           0.171
  496747           1.039           0.171
  496748           1.040           0.172
  496749           1.045           0.177
  496750           1.050           0.182
  496751           1.044           0.176
  496752           1.051           0.183
  496753           1.051           0.183
  496754           1.053           0.185
  496755           1.053           0.185
  496756           1.053           0.185
  496757           1.056           0.188
  496758           1.052           0.184
  496759           1.055           0.187
  496760           1.055           0.187
  496761           1.055           0.187
  496762           1.059           0.191
  496763           1.054           0.186
  496764           1.057           0.189
  496765           1.058           0.190
  496766           1.060           0.192
  496767           1.062           0.194
  496768           1.064           0.196
  496769           1.064           0.196
  496770           1.066           0.198
  496771           1.069           0.201
  496772           1.069           0.201
  496773           1.068           0.200
  496774           1.071           0.203
  496775           1.071           0.203
  496776           1.072           0.204
