Epoch   v_north   v_east   v_up
  496362           0.002           0.003          -0.011
  496363           0.011           0.005          -0.006
  496364          -0.003           0.002           0.010
  496365          -0.004           0.006           0.001
  496366          -0.012           0.026           0.042
  496367          -0.017           0.022           0.038
  496368          -0.021           0.021           0.039
  496369          -0.031           0.030           0.050
  496370          -0.022           0.018           0.027
  496371          -0.019           0.017           0.031
  496372          -0.010           0.012           0.038
  496373          -0.003           0.016           0.041
  496374          -0.016           0.020           0.048
  496375          -0.020           0.019           0.048
  496376          -0.018           0.014           0.045
  496377          -0.003           0.009           0.035
  496378           0.002           0.014           0.030
  496379          -0.019           0.028           0.054
  496380          -0.016           0.018           0.036
  496381          -0.016           0.029           0.050
  496382          -0.014           0.021           0.035
  496383          -0.003           0.016           0.003
  496384          -0.003           0.018           0.003
  496385          -0.014           0.016           0.012
  496386          -0.017           0.033           0.042
  496387          -0.009           0.008           0.001
  496388          -0.017           0.006           0.007
  496389          -0.014           0.016           0.019
  496390           0.003           0.003          -0.010
  496391          -0.013           0.022           0.027
  496392          -0.020           0.031           0.034
  496393          -0.017           0.026           0.021
  496394          -0.003           0.011          -0.004
  496395           0.001           0.014           0.010
  496396           0.001           0.007          -0.009
  496397           0.003           0.001          -0.013
  496398          -0.003          -0.003          -0.015
  496399          -0.006           0.001          -0.005
  496400          -0.006           0.003          -0.011
  496401          -0.018           0.009           0.000
  496402          -0.018           0.014           0.015
  496403          -0.021           0.016           0.020
  496404          -0.030           0.021           0.021
  496405          -0.009           0.014          -0.001
  496406          -0.009           0.005          -0.005
  496407          -0.008           0.005           0.005
  496408          -0.011           0.016           0.016
  496409          -0.020           0.022           0.027
  496410          -0.033           0.028           0.036
  496411          -0.024           0.019           0.009
  496412          -0.012           0.005           0.004
  496413          -0.008           0.013           0.013
  496414          -0.006           0.022           0.032
  496415          -0.030           0.033           0.046
  496416          -0.007           0.021           0.018
  496417          -0.009           0.010           0.023
  496418          -0.012           0.005           0.017
  496419          -0.006           0.006          -0.010
  496420           0.000           0.019           0.007
  496421           0.006           0.006          -0.004
  496422          -0.003           0.022           0.022
  496423          -0.017           0.021           0.038
  496424          -0.016           0.022           0.034
  496425          -0.014           0.013           0.025
  496426          -0.011           0.016           0.022
  496427          -0.018           0.001           0.012
  496428          -0.021           0.004           0.025
  496429          -0.020           0.019           0.035
  496430          -0.006           0.010           0.006
  496431          -0.010           0.011           0.016
  496432          -0.014           0.006           0.006
  496433          -0.011           0.002          -0.008
  496434          -0.008           0.012           0.024
  496435          -0.002           0.010           0.010
  496436           0.000           0.009           0.019
  496437           0.016          -0.004          -0.013
  496438          -0.003           0.004          -0.001
  496439           0.001           0.013           0.032
  496440           0.001           0.012           0.021
  496441          -0.016           0.022           0.038
  496442          -0.017           0.018           0.042
  496443          -0.006           0.014           0.019
  496444          -0.006           0.009           0.016
  496445          -0.012           0.018           0.013
  496446          -0.023           0.023           0.049
  496447          -0.013           0.012           0.036
  496448          -0.006          -0.001           0.013
  496449          -0.008           0.005           0.019
  496450          -0.010           0.005           0.010
  496451          -0.017           0.021           0.033
  496452          -0.014           0.010           0.020
  496453          -0.009           0.009           0.011
  496454           0.009          -0.019          -0.027
  496455          -0.002           0.005           0.007
  496456          -0.004           0.019           0.039
  496457          -0.010           0.021           0.047
  496458           0.002           0.011           0.024
  496459          -0.008           0.019           0.031
  496460          -0.007           0.008           0.033
  496461           0.000          -0.007          -0.008
  496462           0.003           0.002           0.003
  496463          -0.008           0.007           0.009
  496464          -0.017           0.019           0.036
  496465          -0.008           0.021           0.047
  496466          -0.008           0.017           0.031
  496467          -0.014           0.016           0.033
  496468           0.001           0.004           0.002
  496469           0.008          -0.007          -0.034
  496470          -0.011           0.019           0.042
  496471          -0.014           0.012           0.028
  496472          -0.009           0.003           0.016
  496473          -0.006           0.009           0.028
  496474          -0.009           0.005           0.012
  496475          -0.003           0.008           0.001
  496476          -0.011           0.006           0.005
  496477          -0.017           0.004           0.007
  496478          -0.014           0.013           0.023
  496479          -0.014           0.007           0.014
  496480          -0.011           0.009           0.015
  496481          -0.004           0.005           0.012
  496482          -0.008           0.015           0.040
  496483          -0.017           0.027           0.061
  496484          -0.004           0.011           0.022
  496485          -0.004           0.012           0.023
  496486          -0.006           0.008           0.021
  496487          -0.004           0.012           0.032
  496488          -0.002           0.011           0.032
  496489          -0.011           0.017           0.046
  496490          -0.002           0.005           0.014
  496491           0.003          -0.009           0.000
  496492          -0.002          -0.004           0.016
  496493          -0.001           0.001           0.012
  496494          -0.001           0.002          -0.002
  496495          -0.001           0.002           0.015
  496496           0.004          -0.004           0.000
  496497           0.002          -0.010          -0.009
  496498          -0.002           0.004           0.003
  496499          -0.006          -0.002          -0.004
  496500           0.009          -0.009          -0.022
  496501           0.006          -0.009          -0.017
  496502          -0.011           0.022           0.044
  496503          -0.022           0.015           0.044
  496504          -0.014           0.003           0.006
  496505          -0.004          -0.018          -0.024
  496506          -0.006          -0.005          -0.005
  496507           0.007          -0.005          -0.010
  496508           0.008          -0.010          -0.016
  496509           0.004           0.003           0.008
  496510          -0.011           0.008           0.017
  496511           0.004          -0.012          -0.017
  496512           0.002          -0.007          -0.005
  496513          -0.001          -0.006           0.001
  496514          -0.008          -0.003           0.009
  496515           0.002          -0.014          -0.026
  496516           0.001          -0.010           0.001
  496517           0.002          -0.012          -0.007
  496518           0.002          -0.009          -0.007
  496519          -0.011           0.005           0.029
  496520          -0.002           0.000           0.013
  496521          -0.006           0.007           0.026
  496522          -0.022           0.012           0.044
  496523          -0.009           0.005           0.019
  496524           0.001           0.005           0.035
  496525          -0.007           0.009           0.035
  496526          -0.008          -0.006           0.016
  496527          -0.004          -0.007           0.007
  496528          -0.002           0.002           0.020
  496529          -0.002          -0.006           0.014
  496530           0.006          -0.027          -0.022
  496531           0.012          -0.029          -0.052
  496532           0.011          -0.012          -0.009
  496533          -0.006          -0.009           0.004
  496534          -0.001          -0.004           0.018
  496535          -0.003          -0.010          -0.004
  496536          -0.008          -0.009          -0.004
  496537          -0.007           0.000           0.016
