Epoch   v_north   v_east   v_up
  496394           0.005          -0.010           0.003
  496395          -0.001          -0.019          -0.014
  496396           0.003          -0.007           0.008
  496397          -0.001          -0.001           0.015
  496398           0.003           0.005           0.015
  496399           0.005          -0.004           0.003
  496400           0.006          -0.003           0.013
  496401           0.016          -0.009          -0.005
  496402           0.019          -0.016          -0.021
  496403           0.021          -0.019          -0.032
  496404           0.032          -0.020          -0.024
  496405           0.007          -0.018          -0.005
  496406           0.009          -0.003           0.019
  496407           0.006           0.003           0.000
  496408           0.010          -0.021          -0.018
  496409           0.024          -0.022          -0.030
  496410           0.030          -0.026          -0.016
  496411           0.026          -0.024          -0.018
  496412           0.011          -0.004           0.000
  496413           0.010          -0.013          -0.018
  496414           0.006          -0.023          -0.039
  496415           0.028          -0.031          -0.049
  496416           0.006          -0.018          -0.011
  496417           0.013          -0.009          -0.015
  496418           0.008          -0.008          -0.029
  496419           0.001          -0.002           0.034
  496420          -0.004          -0.019          -0.019
  496421          -0.002          -0.011          -0.010
  496422           0.004          -0.019          -0.021
  496423           0.025          -0.018          -0.024
  496424           0.017          -0.023          -0.037
  496425           0.010          -0.013          -0.021
  496426           0.011          -0.017          -0.016
  496427           0.014          -0.004          -0.018
  496428           0.022          -0.003          -0.032
  496429           0.022          -0.020          -0.039
  496430           0.006          -0.014          -0.005
  496431           0.009          -0.007          -0.003
  496432           0.012          -0.009          -0.014
  496433           0.017          -0.008          -0.012
  496434           0.003          -0.010          -0.019
  496435          -0.002          -0.003           0.012
  496436          -0.010          -0.002           0.008
  496437          -0.015           0.002           0.005
  496438           0.006          -0.006          -0.008
  496439           0.005          -0.013          -0.034
  496440           0.007          -0.019          -0.037
  496441           0.013          -0.023          -0.037
  496444           0.003          -0.006          -0.005
  496445           0.015          -0.024          -0.030
  496446           0.023          -0.020          -0.043
  496447           0.013          -0.012          -0.041
  496448           0.006          -0.001          -0.014
  496449           0.011          -0.007          -0.020
  496450           0.009          -0.004          -0.005
  496451           0.015          -0.021          -0.026
  496452           0.012          -0.007          -0.014
  496453           0.008          -0.008          -0.011
  496454          -0.004           0.018           0.017
  496455           0.007           0.001          -0.004
  496456           0.003          -0.025          -0.044
  496457           0.010          -0.020          -0.053
  496459           0.009          -0.020          -0.034
  496460           0.000          -0.007          -0.023
  496461           0.003           0.005          -0.002
  496462           0.003          -0.002           0.006
  496463           0.009          -0.009          -0.006
  496464           0.015          -0.024          -0.042
  496465           0.007          -0.020          -0.038
  496466           0.003          -0.013          -0.012
  496467           0.007          -0.012          -0.021
  496468          -0.003          -0.005          -0.001
  496469          -0.003           0.003           0.028
  496470           0.012          -0.017          -0.043
  496471           0.012          -0.009          -0.017
  496472           0.018          -0.012          -0.051
  496473           0.002          -0.005          -0.008
  496474           0.008           0.001           0.003
  496475           0.003          -0.005          -0.007
  496476           0.014          -0.013          -0.023
  496477           0.017          -0.004          -0.010
  496478           0.008          -0.007          -0.009
  496479           0.022          -0.015          -0.029
  496480           0.010          -0.012          -0.023
  496481           0.009          -0.008          -0.022
  496482           0.006          -0.015          -0.038
  496483           0.019          -0.026          -0.061
  496484           0.002          -0.013          -0.040
  496485          -0.001          -0.010          -0.003
  496486           0.003          -0.001           0.006
  496487           0.003          -0.015          -0.043
  496488          -0.002          -0.008          -0.020
  496489           0.018          -0.015          -0.044
  496490           0.002          -0.006          -0.018
  496491          -0.005           0.012           0.007
  496492           0.004          -0.002          -0.027
  496493           0.001           0.007           0.001
  496494          -0.005          -0.005          -0.006
  496495           0.005          -0.003          -0.017
  496496          -0.007          -0.001          -0.004
  496497          -0.005           0.014           0.025
  496498           0.005          -0.002           0.001
  496499           0.007           0.001          -0.010
  496500          -0.013           0.012           0.027
  496501          -0.002           0.005           0.000
  496502           0.011          -0.017          -0.037
  496503           0.016          -0.013          -0.034
  496504           0.019          -0.009          -0.019
  496505           0.000           0.023           0.038
  496506           0.011          -0.001          -0.016
  496507          -0.010           0.008           0.024
  496508          -0.002           0.004           0.005
  496509          -0.007           0.001           0.007
  496510           0.003          -0.004          -0.009
  496511          -0.005           0.014           0.036
  496512          -0.001           0.009           0.011
  496513          -0.009           0.010           0.022
  496514           0.011           0.002          -0.021
  496515           0.000           0.015           0.032
  496516           0.007           0.004          -0.029
  496517          -0.001           0.010           0.012
  496518          -0.004           0.017           0.022
  496519           0.008          -0.001          -0.025
  496520           0.001           0.001          -0.006
  496521           0.011          -0.011          -0.043
  496522           0.023          -0.012          -0.041
  496523           0.008          -0.013          -0.033
  496524          -0.007          -0.003          -0.037
  496525           0.004          -0.003          -0.012
  496526           0.006           0.006          -0.015
  496527           0.006           0.004          -0.015
  496528           0.005          -0.004          -0.027
  496529           0.002           0.003          -0.016
  496530          -0.005           0.028           0.024
  496531          -0.010           0.029           0.044
  496532          -0.004           0.012           0.001
  496533           0.006           0.010          -0.005
  496534           0.000           0.007          -0.015
  496535           0.004           0.013           0.001
  496536           0.009           0.006           0.010
  496537           0.008           0.000          -0.026
  496538          -0.001           0.018           0.013
  496539           0.001           0.000          -0.007
  496540           0.006           0.003           0.008
  496541           0.016          -0.001          -0.026
  496542           0.015           0.008          -0.003
  496543           0.002          -0.008          -0.002
  496544           0.000          -0.012          -0.018
  496545           0.001          -0.010           0.000
  496546           0.016          -0.017          -0.022
  496547           0.002          -0.012          -0.019
  496548           0.002           0.000           0.032
  496549           0.003          -0.010          -0.006
  496550          -0.001          -0.013          -0.005
  496551           0.025          -0.033          -0.088
  496552          -0.006          -0.006          -0.007
  496553          -0.005           0.010           0.013
  496554           0.004           0.008           0.004
  496555           0.001           0.013          -0.002
  496556          -0.003           0.009           0.000
  496557          -0.014           0.018           0.017
  496558          -0.002           0.002          -0.001
  496559          -0.013           0.017           0.032
  496560           0.006          -0.006          -0.002
  496561           0.015          -0.016          -0.027
  496562           0.009          -0.009          -0.025
  496563           0.003           0.002           0.012
  496564           0.005          -0.005          -0.018
  496565           0.002          -0.003           0.003
  496566           0.000          -0.015          -0.020
  496567           0.018          -0.014          -0.029
  496568           0.000          -0.011          -0.007
  496569          -0.005           0.000           0.011
  496570          -0.006           0.012           0.012
  496571           0.010           0.001          -0.019
