Epoch   v_north   v_east   v_up
  496263           0.008          -0.003          -0.003
  496264          -0.002          -0.000           0.009
  496265           0.003          -0.007          -0.009
  496266           0.002           0.000          -0.006
  496267          -0.002          -0.003          -0.003
  496268           0.003          -0.002           0.000
  496269           0.003          -0.001          -0.005
  496270          -0.004          -0.001          -0.003
  496271           0.002           0.001           0.005
  496272          -0.000           0.000           0.007
  496273           0.000           0.004           0.005
  496274          -0.000          -0.001          -0.003
  496275           0.000          -0.002          -0.004
  496276           0.005          -0.003          -0.001
  496277           0.001          -0.001          -0.005
  496278          -0.003          -0.000          -0.001
  496279          -0.002           0.004           0.008
  496280           0.004          -0.001          -0.001
  496281           0.001           0.002           0.008
  496282          -0.001          -0.001          -0.003
  496283           0.002          -0.002          -0.004
  496284           0.001           0.004           0.009
  496285           0.002          -0.001           0.005
  496286          -0.005          -0.006          -0.005
  496287           0.001           0.004           0.002
  496288           0.005          -0.004          -0.005
  496289          -0.004          -0.000           0.002
  496290           0.000           0.007           0.015
  496291           0.001          -0.004          -0.006
  496292           0.001          -0.002           0.003
  496293           0.005           0.003           0.005
  496294           0.001          -0.004          -0.008
  496295          -0.007           0.001          -0.003
  496296           0.003           0.004           0.014
  496297           0.002          -0.003           0.002
  496298          -0.002           0.001           0.001
  496299           0.004          -0.001          -0.008
  496300           0.001           0.001           0.003
  496301           0.001          -0.002          -0.002
  496302          -0.002          -0.001          -0.001
  496303           0.005          -0.002          -0.010
  496304          -0.001           0.004           0.014
  496305           0.001          -0.000          -0.003
  496306           0.000          -0.002          -0.004
  496307           0.001          -0.004          -0.005
  496308           0.001           0.001           0.004
  496309          -0.002          -0.001           0.001
  496310           0.004          -0.001          -0.013
  496311           0.001           0.000           0.002
  496312           0.002           0.003           0.003
  496313          -0.004          -0.002          -0.002
  496314           0.002          -0.001          -0.002
  496315           0.002          -0.002          -0.003
  496316          -0.001           0.001           0.002
  496317           0.004          -0.003          -0.017
  496318          -0.001           0.002           0.005
  496319          -0.001           0.000           0.002
  496320           0.004          -0.001          -0.009
  496321          -0.002           0.002           0.008
  496322           0.007           0.000          -0.006
  496323          -0.003          -0.001           0.006
  496324           0.002           0.001           0.006
  496325          -0.000          -0.006          -0.017
  496326           0.003           0.001           0.007
  496327           0.002           0.002           0.001
  496328          -0.003          -0.001          -0.000
  496329           0.003          -0.003          -0.006
  496330           0.005          -0.002          -0.004
  496331          -0.001           0.002           0.001
  496332          -0.005           0.002           0.010
  496333          -0.001           0.002           0.002
  496334          -0.004           0.002           0.003
  496335           0.006          -0.005          -0.008
  496336           0.003          -0.001          -0.008
  496337          -0.001          -0.001          -0.003
  496338           0.003          -0.000          -0.009
  496339          -0.002           0.003           0.010
  496340           0.004          -0.002          -0.007
  496341          -0.004           0.003           0.009
  496342          -0.002          -0.001          -0.002
  496343           0.006          -0.001          -0.007
  496344           0.002           0.001           0.001
  496345          -0.001          -0.003          -0.005
  496346           0.001           0.001          -0.002
  496347           0.000           0.002           0.006
  496348           0.001           0.002           0.005
  496349          -0.001          -0.001           0.002
  496350          -0.002           0.001           0.004
  496351           0.000          -0.005          -0.008
  496352           0.001          -0.000          -0.007
  496353           0.000           0.000           0.005
  496354          -0.002          -0.003          -0.005
  496355           0.000          -0.003          -0.013
  496356           0.001           0.000          -0.002
  496357          -0.002           0.005           0.011
  496358           0.003           0.001           0.002
  496359           0.002          -0.001           0.002
  496360          -0.004          -0.001          -0.007
  496361           0.005           0.002           0.004
  496362          -0.003          -0.003          -0.004
  496363          -0.001          -0.001          -0.008
  496364          -0.003           0.002          -0.001
  496365           0.002          -0.002           0.002
  496366          -0.000          -0.003          -0.011
  496367          -0.001           0.005           0.011
  496368           0.002          -0.003          -0.009
  496369           0.002          -0.000          -0.002
  496370           0.001          -0.002          -0.006
  496371          -0.003           0.002           0.003
  496372          -0.002           0.001           0.006
  496373          -0.004           0.002           0.002
  496374           0.004          -0.006          -0.015
  496375          -0.001           0.003           0.006
  496376           0.002          -0.002          -0.007
  496377           0.001          -0.002          -0.010
  496378          -0.001           0.001          -0.004
  496379          -0.001           0.006           0.016
  496380          -0.000          -0.004          -0.011
  496381           0.005          -0.005          -0.007
  496382          -0.001           0.004           0.008
  496383          -0.001          -0.002          -0.006
  496384          -0.003           0.003           0.004
  496385           0.002          -0.001          -0.007
  496386          -0.003           0.001           0.006
  496387          -0.000           0.001          -0.002
  496388           0.000          -0.001          -0.001
  496389          -0.000           0.000           0.003
  496390           0.003           0.000          -0.007
  496391          -0.002           0.002           0.009
  496392          -0.000           0.002          -0.002
  496393          -0.001           0.002           0.002
  496394          -0.001           0.002           0.003
  496395          -0.005           0.000           0.001
  496396           0.005           0.001           0.004
  496397           0.004          -0.002          -0.005
  496398          -0.002           0.000          -0.001
  496399           0.001           0.003           0.007
  496400          -0.004          -0.004          -0.006
  496401          -0.003          -0.002          -0.005
  496402           0.004           0.003           0.006
  496403           0.003          -0.001          -0.010
  496404           0.001          -0.000          -0.003
  496405          -0.003           0.002           0.002
  496406          -0.003           0.003           0.014
  496407          -0.003          -0.000          -0.005
  496408           0.004          -0.002          -0.004
  496409          -0.001          -0.001          -0.011
  496410           0.003           0.007           0.015
  496411          -0.002           0.002           0.005
  496412           0.001           0.002           0.012
  496413           0.002           0.001          -0.009
  496414          -0.008           0.002           0.005
  496415           0.001          -0.003          -0.017
  496416           0.007          -0.002          -0.008
  496417          -0.004           0.006           0.017
  496418           0.001          -0.003          -0.010
  496419          -0.004           0.005           0.009
  496420           0.001          -0.003          -0.004
  496421           0.006          -0.006          -0.031
  496422          -0.009           0.013           0.034
  496423           0.002           0.004           0.007
  496424          -0.005           0.002           0.013
  496425           0.003          -0.006          -0.017
  496426          -0.003           0.001           0.003
  496427          -0.003          -0.006          -0.003
  496428           0.000           0.000           0.002
  496429          -0.001           0.003           0.016
  496430           0.005          -0.003          -0.010
  496431          -0.005           0.004           0.011
  496432          -0.003           0.005           0.009
  496433           0.001          -0.000          -0.004
  496434          -0.001           0.002          -0.001
  496435           0.004           0.001           0.004
  496436           0.000          -0.002          -0.004
  496437           0.003          -0.002          -0.011
  496438          -0.003          -0.001           0.003
  496439           0.000           0.001          -0.011
  496440           0.003          -0.001           0.005
  496441          -0.003          -0.001          -0.007
  496442           0.001           0.002           0.002
  496443           0.005          -0.005          -0.014
  496444          -0.006          -0.003          -0.001
  496445          -0.003          -0.004           0.001
  496446           0.000           0.001           0.002
  496447           0.002           0.000          -0.000
  496448          -0.000           0.002           0.008
  496449           0.002          -0.001           0.001
  496450          -0.001          -0.003          -0.001
  496451          -0.003          -0.002          -0.002
  496452          -0.001           0.003           0.012
  496453           0.000           0.000           0.006
  496454           0.002           0.005           0.000
  496455           0.002           0.006           0.009
  496456          -0.001          -0.003          -0.002
  496457           0.001          -0.005          -0.007
  496458           0.001           0.002           0.010
  496459           0.000          -0.003          -0.007
  496460          -0.005           0.000           0.004
  496461           0.001          -0.001           0.005
  496462           0.000           0.003           0.004
  496463          -0.000           0.005           0.015
  496464          -0.002          -0.002          -0.010
  496465           0.001           0.002          -0.003
  496466          -0.005          -0.002           0.000
  496467          -0.001          -0.003          -0.002
  496468          -0.005          -0.004          -0.003
  496469           0.000           0.004           0.010
  496470          -0.001           0.001           0.002
  496471           0.006          -0.001          -0.011
  496472          -0.001           0.001           0.004
  496473           0.001          -0.002           0.001
  496474           0.000           0.002           0.003
  496475           0.004          -0.003          -0.004
  496476          -0.003           0.000          -0.002
  496477          -0.001          -0.000           0.003
  496478          -0.002           0.000           0.009
  496479           0.002          -0.000          -0.005
